movie_name,ranking,score,score_num
狩猎,99,9.1,422350
唐伯虎点秋香,100,8.7,1140629
7号房的礼物,101,8.9,585387
被嫌弃的松子的一生,102,8.8,734634
蝙蝠侠：黑暗骑士崛起,103,8.9,762000
甜蜜蜜,104,8.9,606750
爱在黎明破晓前,105,8.8,729972
第六感,106,8.9,589427
超能陆战队,107,8.8,1071361
请以你的名字呼唤我,108,8.8,767288
重庆森林,109,8.8,859096
入殓师,110,8.9,702694
断背山,111,8.8,737904
剪刀手爱德华,112,8.7,1073754
幽灵公主,113,8.9,555490
寄生虫,114,8.8,1446214
爱在日落黄昏时,115,8.9,598948
勇敢的心,116,8.9,578389
菊次郎的夏天,117,8.9,630366
借东西的小人阿莉埃蒂,118,8.9,586878
未麻的部屋,119,9.1,377848
消失的爱人,120,8.7,1008779
无人知晓,121,9.1,343635
时空恋旅人,122,8.8,723015
完美的世界,123,9.1,334963
阳光灿烂的日子,124,8.8,646853
倩女幽魂,125,8.8,772924
天使爱美丽,126,8.7,982818
小森林 夏秋篇,127,9.0,445870
哈利·波特与火焰杯,128,8.8,711766
侧耳倾听,129,8.9,490487
茶馆,130,9.6,171886
驯龙高手,131,8.8,797258
教父3,132,9.0,398563
幸福终点站,133,8.8,602202
怪兽电力公司,134,8.8,715702
新世界,135,8.9,478197
一个叫欧维的男人决定去死,136,8.9,517943
玩具总动员3,137,8.9,550256
傲慢与偏见,138,8.7,851343
小森林 冬春篇,139,9.0,396915
头脑特工队,140,8.8,697524
被解救的姜戈,141,8.8,644218
萤火之森,142,8.8,570867
釜山行,143,8.6,1263549
色，戒,144,8.7,877549
神偷奶爸,145,8.7,990337
九品芝麻官,146,8.7,728801
哪吒闹海,147,9.2,275515
告白,148,8.8,700963
玛丽和马克思,149,9.0,436257
喜宴,150,9.0,391122
大鱼,151,8.8,593898
模仿游戏,152,8.8,681246
头号玩家,153,8.6,1429506
花样年华,154,8.8,652149
射雕英雄传之东成西就,155,8.7,672851
七武士,156,9.3,211372
我是山姆,157,9.0,355018
惊魂记,158,9.0,321173
血战钢锯岭,159,8.7,814644
阳光姐妹淘,160,8.8,609729
恐怖直播,161,8.7,686843
你的名字。,162,8.5,1491490
黑客帝国3：矩阵革命,163,8.8,468262
三块广告牌,164,8.7,863848
电锯惊魂,165,8.7,567696
心迷宫,166,8.8,563722
达拉斯买家俱乐部,167,8.8,476175
疯狂原始人,168,8.7,875324
谍影重重3,169,8.8,439885
小丑,170,8.7,1060522
心灵奇旅,171,8.7,1048362
背靠背，脸对脸,172,9.5,152406
上帝之城,173,9.0,314356
英雄本色,174,8.6,569583
风之谷,175,8.9,372488
绿里奇迹,176,8.9,355900
爱在午夜降临前,177,8.9,431871
海街日记,178,8.8,478791
纵横四海,179,8.8,448131
卢旺达饭店,180,8.9,346868
疯狂的石头,181,8.6,868286
无间道2,182,8.8,517383
2001太空漫游,183,8.9,358153
雨中曲,184,9.1,243830
记忆碎片,185,8.7,632597
小偷家族,186,8.7,850833
无敌破坏王,187,8.7,572431
岁月神偷,188,8.7,591582
忠犬八公物语,189,9.2,205774
荒蛮故事,190,8.8,466674
冰川时代,191,8.6,647003
牯岭街少年杀人事件,192,8.9,329423
恐怖游轮,193,8.5,919544
爆裂鼓手,194,8.7,622501
东京教父,195,9.0,255560
魔女宅急便,196,8.7,489096
大佛普拉斯,197,8.7,504154
贫民窟的百万富翁,198,8.6,773315
遗愿清单,199,8.7,494221
东邪西毒,200,8.6,601306
