movie_name,ranking,score,score_num
五亿探长雷洛传1：雷老虎,278,7.9,66737
剑雨,279,7.7,235960
天生杀人狂,280,7.9,118258
速度与激情4,281,7.8,181894
X战警：天启,282,7.7,385940
小人物,283,7.8,178073
黑金,284,7.8,98668
碟中谍3,285,7.7,206019
超凡蜘蛛侠,286,7.7,348637
孤独的幸存者,287,8.1,66862
浪客剑心：京都大火篇,288,8.1,66750
大侦探福尔摩斯,289,7.7,320100
奇门遁甲,290,8.2,30522
星河战队,291,7.9,109015
猩球崛起2：黎明之战,292,7.7,317596
白发魔女传,293,7.8,89874
生死狙击,294,7.8,161370
博物馆奇妙夜,295,7.7,308959
超凡蜘蛛侠2,296,7.7,306949
黑衣人3,297,7.7,294355
夺宝奇兵,298,7.9,105492
蜘蛛侠3,299,7.7,268221
醉拳,300,7.8,81960
爱的曝光,301,8.3,45324
雌雄大盗,302,8.2,52008
海王,303,7.6,901725
X战警2,304,7.7,239112
X战警3：背水一战,305,7.7,236687
大侦探福尔摩斯2：诡影游戏,306,7.7,231833
信条,307,7.6,754463
寒战,308,7.6,389279
超级大坏蛋,309,7.8,129987
蜘蛛侠：英雄远征,310,7.6,609228
奇异博士,311,7.6,597406
马达加斯加2：逃往非洲,312,7.8,128223
魔兽,313,7.6,320255
倩女幽魂3：道道道,314,7.7,113502
扫毒,315,7.6,286504
突袭,316,7.9,89864
伸冤人,317,7.8,123564
古惑仔2之猛龙过江,318,7.7,109505
的士速递,319,7.9,88501
雪国列车,320,7.6,472276
猎杀U-571,321,8.1,56980
警察故事续集,322,7.8,66528
窃听风云2,323,7.6,250474
毒战,324,7.6,241160
极恶非道,325,8.0,68516
魔女,326,7.7,180173
双龙会,327,7.7,99028
新僵尸先生,328,7.9,46912
空山灵雨,329,8.4,20315
保镖,330,7.9,83012
野战排,331,8.2,46707
军舰岛,332,7.9,82036
奇谋妙计五福星,333,7.9,45367
钢铁巨人,334,8.6,29473
最后的武士,335,7.9,81079
我要复仇,336,7.9,80948
偷天陷阱,337,7.8,107731
僵尸世界大战,338,7.6,320066
国家宝藏,339,7.7,158811
监狱风云2：逃犯,340,7.9,44414
汉江怪物,341,7.6,309218
乐高蝙蝠侠大电影,342,8.0,63939
金刚狼,343,7.6,284110
碟中谍7：致命清算（上）,344,7.6,281439
杀破狼,345,7.6,152562
座头市,346,8.1,51980
龙门客栈,347,8.2,24509
超体,348,7.5,593656
辣手神探,349,7.9,41389
老手,350,7.7,137530
桥,351,8.8,24017
处刑人,352,8.1,50505
闪电侠,353,7.6,234475
海扁王,354,7.6,229315
宝贝计划,355,7.5,444387
丁丁历险记,356,7.7,132524
憨豆特工,357,7.7,131550
